Facility ID,Station,Primary Network Affiliation,Market Rank,Licensed State,Latitude (degrees),Longitude (degrees)
11912,KAAS-TV  ,FOX (US),65,KS,39.104444,-97.387500
52579,KRDO-TV  ,ABC (US),89,CO,38.745889,-104.860333
49832,KVIA-TV  ,ABC (US),92,TX,31.805278,-106.483056
60637,KEYT-TV  ,ABC (US),124,CA,34.525556,-119.957778
63164,KMIZ     ,ABC (US),138,MO,38.774722,-92.556194
66258,KIFI-TV  ,ABC (US),163,ID,43.501111,-112.661944
51208,KECY-TV  ,FOX (US),166,CA,33.055278,-114.828889
52593,KGBY     ,Cozi TV (US),185,CO,39.048611,-108.251667
55907,KTVZ     ,NBC (US),190,OR,44.077778,-121.330278
25045,WHAG-TV  ,Independent (US),7,MD,39.662500,-77.965000
68889,KTVX     ,ABC (US),34,UT,40.659167,-112.201944
1136,KUCW     ,The CW (US),34,UT,40.659167,-112.201944
11907,WATN-TV  ,ABC (US),50,TN,35.275833,-89.777222
68518,WLMT     ,The CW (US),50,TN,35.275833,-89.777222
29712,WCWJ     ,The CW (US),47,FL,30.276667,-81.563056
71225,WBRE-TV  ,NBC (US),55,PA,41.182778,-75.873889
35594,KSEE     ,NBC (US),54,CA,37.071944,-119.430278
56034,KGPE     ,CBS (US),54,CA,37.070556,-119.425278
33440,KARK-TV  ,NBC (US),57,AR,34.799167,-92.499722
37005,KARZ-TV  ,MyNetworkTV (US),57,AR,34.799167,-92.499722
9635,WFRV-TV  ,CBS (US),68,WI,44.333611,-87.982222
3659,KOZL-TV  ,MyNetworkTV (US),75,MO,37.218889,-92.948889
73964,WROC-TV  ,CBS (US),76,NY,43.135556,-77.583889
35648,KTAL-TV  ,NBC (US),83,TX,32.903056,-94.005556
42124,WCIA     ,CBS (US),85,IL,40.105833,-88.450000
42116,WCIX     ,MyNetworkTV (US),85,IL,39.790833,-89.514722
73113,WSYR-TV  ,ABC (US),84,NY,42.945000,-76.024444
11259,WVNY     ,ABC (US),98,VT,44.525833,-72.815833
10132,WFFF-TV  ,FOX (US),98,VT,44.525833,-72.815833
29557,KNWA-TV  ,NBC (US),100,AR,36.413278,-93.954667
23341,WTAJ-TV  ,CBS (US),104,PA,40.566944,-78.441667
24215,WEHT     ,ABC (US),103,IN,37.865556,-87.567778
25040,WFFT-TV  ,FOX (US),111,IN,41.109167,-85.195000
42121,WMBD-TV  ,CBS (US),117,IL,40.635000,-89.538611
34459,KGET-TV  ,NBC (US),126,CA,35.438111,-118.739694
8523,KAMR-TV  ,NBC (US),131,TX,35.342500,-101.822500
52408,WQRF-TV  ,FOX (US),136,IL,42.287222,-89.170833
3658,KARD     ,FOX (US),137,LA,32.095000,-92.176111
3660,KLBK-TV  ,CBS (US),144,TX,33.525833,-101.868611
65370,KFDX-TV  ,NBC (US),147,TX,33.889722,-98.558333
65749,WJET-TV  ,ABC (US),150,PA,42.040278,-80.069167
67766,KSNF     ,NBC (US),151,MO,37.075833,-94.554444
35131,KMID     ,ABC (US),145,TX,32.097500,-102.289167
20426,WTWO     ,NBC (US),155,IN,39.242500,-87.391389
11260,WIVT     ,ABC (US),159,NY,42.060833,-75.943333
59988,KTAB-TV  ,CBS (US),165,TX,32.277222,-99.597500
5243,KSVI     ,ABC (US),167,MT,45.807222,-108.340278
43846,WDHN     ,ABC (US),173,AL,31.240278,-85.311944
43424,WFXV     ,FOX (US),172,NY,43.145278,-75.176389
60653,WETM-TV  ,NBC (US),175,NY,42.106111,-76.871389
68519,WJKT     ,FOX (US),176,TN,35.789444,-89.103889
16747,WWTI     ,ABC (US),177,NY,43.879722,-75.720000
9630,WJMN-TV  ,CBS (US),180,MI,46.134722,-86.948611
31114,KLST     ,CBS (US),198,TX,31.366944,-100.046667
20427,KQTV     ,ABC (US),201,MO,39.770000,-94.798056
48477,WNJN     ,PBS (US),1,NJ,40.864722,-74.200833
48457,WNJB     ,PBS (US),1,NJ,40.621389,-74.504167
48481,WNJS     ,PBS (US),4,NJ,39.728056,-74.844167
48465,WNJT     ,PBS (US),4,NJ,40.282778,-74.686389
35500,KQED     ,PBS (US),6,CA,37.755278,-122.451667
8214,KQET     ,PBS (US),125,CA,36.756361,-121.501361
49579,KAWB     ,PBS (US),15,MN,46.422500,-94.461389
58684,KAYU-TV  ,FOX (US),73,WA,47.578889,-117.296111
12729,KFFX-TV  ,FOX (US),123,OR,45.747778,-118.037500
32958,KMVU-DT  ,FOX (US),140,OR,42.298333,-122.748056
62210,WICZ-TV  ,FOX (US),159,NY,42.056111,-75.944167
71586,KCNS     ,MundoMax (US),6,CA,37.755278,-122.451667
21533,KTNC-TV  ,Estrella TV (US),6,CA,37.881667,-121.918056
41436,WMFP     ,SonLife Broadcasting Network (US),8,MA,42.307500,-71.224167
70492,KUBE-TV  ,Independent (US),10,TX,29.570833,-95.510278
55350,WGCB-TV  ,Cozi TV (US),44,PA,39.905000,-76.583333
49803,WYIN     ,PBS (US),3,IN,41.348889,-87.400556
9762,WGNT     ,The CW (US),42,VA,36.811944,-76.462500
57832,WTVR-TV  ,CBS (US),56,VA,37.512500,-77.601389
50147,WOUB-TV  ,PBS (US),31,OH,39.314444,-82.149722
66185,WOSU-TV  ,PBS (US),31,OH,40.159167,-82.923056
66190,WPBO     ,PBS (US),67,OH,38.761667,-83.061389
50205,KETA-TV  ,PBS (US),43,OK,35.597778,-97.489444
66195,KOED-TV  ,PBS (US),60,OK,36.020833,-95.675556
86532,KUOK     ,Univision (US),43,OK,36.272944,-99.445750
50589,KOPB-TV  ,PBS (US),24,OR,45.522500,-122.745833
50592,KTVR     ,PBS (US),24,OR,45.309167,-117.731667
50590,KOAC-TV  ,PBS (US),119,OR,44.640278,-123.273611
50591,KEPB-TV  ,PBS (US),119,OR,44.001944,-123.114722
50588,KOAB-TV  ,PBS (US),190,OR,44.078056,-121.332500
3978,WLWC     ,The CW (US),52,MA,41.777500,-70.928056
53820,KYOU-TV  ,FOX (US),200,IA,41.195000,-91.954167
53320,KGFE     ,PBS (US),115,ND,47.977222,-96.605000
53321,KFME     ,PBS (US),115,ND,47.012500,-97.194722
42640,KVIQ     ,CBS (US),195,CA,40.727500,-123.971389
60571,WIWN     ,SonLife Broadcasting Network (US),35,WI,43.096111,-87.904167
51502,KCWI-TV  ,The CW (US),72,IA,41.830000,-93.615000
21162,KWNB-TV  ,ABC (US),105,NE,40.625556,-101.029167
21160,KHGI-TV  ,ABC (US),105,NE,40.657722,-98.867694
33639,KSWT     ,CBS (US),166,AZ,33.055000,-114.827500
31597,KFQX     ,FOX (US),185,CO,39.066111,-108.746111
39561,WDKA     ,MyNetworkTV (US),82,KY,37.395000,-88.939722
51991,WPSD-TV  ,NBC (US),82,KY,37.191944,-88.981389
66219,WPSU-TV  ,PBS (US),104,PA,41.122222,-78.441611
17611,WSRE     ,PBS (US),58,FL,30.611194,-87.607472
35630,KSPR     ,ABC (US),75,MO,37.173889,-92.940833
50044,KPBT-TV  ,PBS (US),145,TX,31.897194,-102.337222
86537,WJLP     ,Me-TV (US),1,NV,39.246111,-114.926667
1283,KJWP     ,Me-TV (US),4,DE,40.041667,-75.236389
52907,KLAX-TV  ,ABC (US),179,LA,31.565000,-92.550000
53382,KIEM-TV  ,NBC (US),195,CA,40.730556,-123.951944
53324,KBME-TV  ,PBS (US),139,ND,46.589722,-100.800556
53318,KWSE     ,PBS (US),139,ND,48.141667,-103.892778
53313,KSRE     ,PBS (US),139,ND,48.050556,-101.390278
53329,KDSE     ,PBS (US),139,ND,46.726389,-102.915833
66285,WGTE-TV  ,PBS (US),77,OH,41.657222,-83.431944
53734,WCNY-TV  ,PBS (US),84,NY,42.945000,-76.118611
53716,WQLN     ,PBS (US),150,PA,42.042778,-80.065556
25065,WPTO     ,PBS (US),36,OH,39.121944,-84.547778
65666,WCET     ,PBS (US),36,OH,39.124167,-84.521667
25067,WPTD     ,PBS (US),64,OH,39.721111,-84.250000
53843,KCPT     ,PBS (US),33,MO,39.083056,-94.480278
64545,WKOW     ,ABC (US),81,WI,43.055833,-89.535000
593,KWWL     ,NBC (US),90,IA,42.400556,-91.843333
74007,WSJV     ,Independent (US),96,IN,41.616111,-86.193889
64550,WQOW     ,ABC (US),128,WI,44.800000,-91.465833
64549,WXOW     ,ABC (US),128,WI,43.806389,-91.367222
81503,WMOW     ,ABC (US),134,WI,45.573056,-88.882500
64546,WAOW     ,ABC (US),134,WI,44.920556,-89.691111
77789,WYOW     ,ABC (US),134,WI,45.775000,-89.248611
73940,WREX     ,NBC (US),136,IL,42.296639,-89.239333
66170,KTIV     ,NBC (US),149,IA,42.586667,-96.221639
35678,KTTC     ,NBC (US),153,MN,43.570833,-92.426944
74176,WVVA     ,NBC (US),160,WV,37.255750,-81.181667
54275,WGEM-TV  ,NBC (US),170,IL,39.951111,-91.331389
54728,WPGA-TV  ,Independent (US),120,GA,32.751111,-83.557500
83707,KTEL-TV  ,Telemundo (US),48,NM,32.435833,-104.187222
55031,KJTV-TV  ,FOX (US),144,TX,33.502222,-101.872222
81464,KNBN     ,NBC (US),171,SD,44.092500,-103.248056
12930,KTAS     ,Telemundo (US),124,CA,35.360556,-120.655833
39746,WOIO     ,CBS (US),18,OH,41.387500,-81.695278
8532,WUAB     ,MyNetworkTV (US),18,OH,41.379167,-81.720000
30826,WBTV     ,CBS (US),22,NC,35.364167,-81.186944
39738,WXIX-TV  ,FOX (US),36,KY,39.121944,-84.547778
39736,WFLX     ,FOX (US),38,FL,26.574833,-80.242194
71221,WBRC     ,FOX (US),45,AL,33.488611,-86.799444
13989,WAVE     ,NBC (US),49,KY,38.368889,-85.830000
19184,WMC-TV   ,NBC (US),50,TN,35.169167,-89.886111
30833,WWBT     ,NBC (US),56,VA,37.506389,-77.503333
19200,WTNZ     ,FOX (US),62,TN,36.003611,-83.942778
48663,KOLD-TV  ,CBS (US),70,AZ,32.415556,-110.713889
34846,KHBC-TV  ,NBC (US),66,HI,19.730833,-155.069722
34445,KGMB     ,CBS (US),66,HI,21.400833,-158.102778
34867,KHNL     ,NBC (US),66,HI,21.400833,-158.102778
34859,KOGG     ,NBC (US),66,HI,20.660278,-156.362778
13992,WTOL     ,CBS (US),77,OH,41.672778,-83.379722
13990,WIS      ,NBC (US),78,SC,34.124722,-80.756389
591,WAFF     ,NBC (US),79,AL,34.710833,-86.535278
592,KFVS-TV  ,CBS (US),82,MO,37.429444,-89.503889
70482,KSLA     ,CBS (US),83,LA,32.674444,-93.933333
590,WTOC-TV  ,CBS (US),91,GA,32.053889,-81.350278
68542,WLBT     ,NBC (US),95,MS,32.213611,-90.382222
589,WAFB     ,CBS (US),93,LA,30.366111,-91.213056
71297,WCSC-TV  ,CBS (US),94,SC,32.924444,-79.699444
83969,WMBF-TV  ,NBC (US),102,SC,33.730556,-79.075556
13991,WFIE     ,NBC (US),103,IN,37.887222,-87.518611
68540,KLTV     ,ABC (US),109,TX,32.539722,-95.219722
68541,KTRE     ,ABC (US),109,TX,31.419167,-94.800833
3228,WFXG     ,FOX (US),112,GA,33.416778,-81.834861
13993,WSFA     ,NBC (US),122,AL,31.974444,-86.162222
595,WTVM     ,ABC (US),127,GA,32.321111,-84.791111
48666,WECT     ,NBC (US),130,NC,34.131389,-78.188056
27507,KCBD     ,NBC (US),144,TX,33.541528,-101.836667
70713,WALB     ,NBC (US),152,GA,31.331111,-83.861944
2942,WPGX     ,FOX (US),154,FL,30.395000,-85.533889
13995,WLOX     ,ABC (US),158,MS,30.722778,-89.091111
21250,WDAM-TV  ,NBC (US),168,MS,31.453333,-89.284722
32851,WDFX-TV  ,FOX (US),173,AL,31.207778,-85.613611
13994,KPLC     ,NBC (US),174,LA,30.396111,-93.000833
13988,KAIT     ,ABC (US),181,AR,35.889444,-90.935556
55375,KDLV-TV  ,NBC (US),110,SD,43.759167,-98.412222
55379,KDLT-DT  ,NBC (US),110,SD,43.505000,-96.556111
55364,KJRR     ,FOX (US),115,ND,46.924167,-98.771944
55370,KBRR     ,FOX (US),115,MN,47.977222,-96.605000
55362,KNRR     ,FOX (US),115,ND,48.995556,-97.407778
55372,KVRR     ,FOX (US),115,ND,46.674722,-96.227778
35525,KQDS-TV  ,FOX (US),141,MN,46.793611,-92.117500
55435,KEET     ,PBS (US),195,CA,40.728444,-123.971472
24314,WGBC     ,FOX (US),189,MS,32.327639,-88.691889
55684,KXMA-TV  ,CBS (US),139,ND,46.726389,-102.915833
55683,KXMD-TV  ,CBS (US),139,ND,48.141667,-103.892778
55686,KXMB-TV  ,CBS (US),139,ND,46.589722,-100.805556
55685,KXMC-TV  ,CBS (US),139,ND,48.050000,-101.342222
35096,KWKB     ,The CW (US),90,IA,41.724722,-91.352778
56092,WSBE-TV  ,PBS (US),52,RI,41.865000,-71.287500
58725,WNYS-TV  ,MyNetworkTV (US),84,NY,42.880556,-76.200000
136750,WZRB     ,ION (US),78,SC,34.043889,-80.997500
14040,KRMA-TV  ,PBS (US),17,CO,39.671389,-105.218333
84224,KRMU     ,PBS (US),48,CO,37.262778,-107.899444
69170,KTSC     ,PBS (US),89,CO,38.745278,-104.860833
14042,KRMJ     ,PBS (US),185,CO,39.066111,-108.745278
57945,KRCB     ,PBS (US),6,CA,38.348528,-122.577083
58552,KOAM-TV  ,CBS (US),151,KS,37.220833,-94.706944
73101,KAVU-TV  ,ABC (US),203,TX,28.845000,-97.125833
37179,WLTZ     ,NBC (US),127,GA,32.457778,-84.885556
35906,KXLT-TV  ,FOX (US),153,MN,43.642778,-92.526389
10061,KGNS-TV  ,NBC (US),184,TX,27.672500,-99.664167
63166,KGWN-TV  ,CBS (US),197,WY,41.100278,-105.006389
63182,KSTF     ,CBS (US),197,NE,41.999722,-103.675000
6124,KPBS     ,PBS (US),28,CA,32.698056,-116.934167
58912,KCSM-TV  ,PBS (US),6,CA,37.755278,-122.451667
59137,WRCB     ,NBC (US),88,TN,35.161111,-85.314167
59139,KTVN     ,CBS (US),106,NV,39.315833,-119.883889
58795,KVCR-DT  ,PBS (US),2,CA,33.965833,-117.284722
61009,WNSC-TV  ,PBS (US),22,SC,34.839722,-81.018611
61012,WRJA-TV  ,PBS (US),78,SC,33.880833,-80.270833
61013,WRLK-TV  ,PBS (US),78,SC,34.118333,-80.936944
61007,WJWJ-TV  ,PBS (US),91,SC,32.711667,-80.681667
61005,WITV     ,PBS (US),94,SC,32.924444,-79.699444
61004,WHMC     ,PBS (US),102,SC,33.949444,-79.108611
61008,WJPM-TV  ,PBS (US),102,SC,34.280000,-79.743056
61003,WEBA-TV  ,PBS (US),112,SC,33.187500,-81.397222
66358,WLRN-TV  ,PBS (US),16,FL,25.979444,-80.196111
66414,KBSD-DT  ,CBS (US),65,KS,37.641111,-100.344167
66415,KBSH-DT  ,CBS (US),65,KS,38.883611,-99.337500
66416,KBSL-DT  ,CBS (US),65,KS,39.469444,-101.555278
66413,KWCH-DT  ,CBS (US),65,KS,38.060444,-97.763472
72348,KSCW-DT  ,The CW (US),65,KS,38.060444,-97.763472
71329,WDBJ     ,CBS (US),69,VA,37.195000,-80.156389
36003,KYTV     ,NBC (US),75,MO,37.173889,-92.940833
73983,WSBT-TV  ,CBS (US),96,IN,41.616667,-86.216944
70699,WAGT     ,NBC (US),112,GA,33.405583,-81.833611
10173,KTUU-TV  ,NBC (US),148,AK,61.422778,-149.872222
10267,WXYZ-TV  ,ABC (US),13,MI,42.470556,-83.250278
59440,KNXV-TV  ,ABC (US),12,AZ,33.333333,-112.062778
64588,WFTS-TV  ,ABC (US),11,FL,27.842222,-82.262500
59441,WEWS-TV  ,ABC (US),18,OH,41.373889,-81.717778
59442,WMAR-TV  ,ABC (US),26,MD,39.334722,-76.650833
42636,KMCI-TV  ,Independent (US),33,KS,38.978333,-94.533611
59444,KSHB-TV  ,NBC (US),33,MO,38.978333,-94.533611
59438,WCPO-TV  ,ABC (US),36,OH,39.125000,-84.498889
59443,WPTV-TV  ,NBC (US),38,FL,26.588889,-80.212222
59439,KJRH-TV  ,NBC (US),60,OK,36.020833,-95.675556
29234,KAZA-TV  ,Azteca (US),2,CA,34.226944,-118.065833
61064,KDSD-TV  ,PBS (US),110,SD,45.498333,-97.674444
61072,KUSD-TV  ,PBS (US),110,SD,43.050278,-96.783611
60728,KCSD-TV  ,PBS (US),110,SD,43.574444,-96.655278
61068,KBHE-TV  ,PBS (US),171,SD,44.052222,-103.242778
49699,WJFW-TV  ,NBC (US),134,WI,45.667500,-89.208056
61216,WHIZ-TV  ,NBC (US),204,OH,39.928333,-81.985278
14867,KCBA     ,FOX (US),125,CA,36.756111,-121.501667
35336,KFXA     ,FOX (US),90,IA,42.090278,-92.086944
66378,WVPY     ,PBS (US),7,VA,38.960000,-78.331111
